id,slug,title,publishedYear,oldestYearFound,olderYearMentions,sample
"2i7iadib5QZf8Z2hekeurW","australias-premier-superyacht-event-unveils-elite-maritime-excellence","Australia's Premier Superyacht Event Unveils Elite Maritime Excellence","2025","2022","1","stage with the return of the Superyacht Australia Soirée in 2022. Recognised as the nation’s most prestigious superyacht lifestyle event, it"
"2i7iadib5QZf8Z2hekfFRK","antje-lochmanns-vision-for-automotive-innovation","Antje Lochmann's Vision for Automotive Innovation","2025","2011","1","t philosophy that sets her apart. Lochmann joined GEODIS in 2011 after nearly a decade at TFG Transfracht. Starting in an inside sales role,"
"2i7iadib5QZf8Z2hekfGFK","vikas-duttas-strategic-vision-for-global-logistics-innovation","Vikas Dutta's Strategic Vision for Global Logistics Innovation","2025","2013","1","ustomer-centric at scale. Dutta’s journey with ECU began in 2013 as Country Manager for Indonesia—a role that gave him the freedom to shape"
"2i7iadib5QZf8Z2hekfH6Y","kento-miura-on-content-driven-innovation","Kento Miura on Content-Driven Innovation","2025","2024","1","olution in Japan is Kento Miura, who joined Thomson in July 2024 as President and Representative Director of Thomson Japan. With over three"
"2i7iadib5QZf8Z2hekfHGE","eurofins-chinas-strategic-expansion","Eurofins China's Strategic Expansion","2025","2003","1","rategy. Since establishing its first laboratory in China in 2003, Eurofins has grown into one of the country’s most trusted names in testing"
"2i7iadib5QZf8Z2hekfHeQ","alan-nortjes-blueprint-for-construction-innovation","Alan Nortje's Blueprint for Construction Innovation","2025","2019","2","nd before they happen. --- You’ve been with PERI since late 2021. What attracted you back to the company? After spending time as an in South"
"2i7iadib5QZf8Z2hekfIYs","steve-boland-on-elevating-construction-standards","Steve Boland on Elevating Construction Standards","2025","2017","1","ategic backing to expand beyond that state.” Change came in 2017 when Acrow made the bold decision to list on the Australian Securities Exch"
"2i7iadib5QZf8Z2hekfIx4","george-constantinous-construction-empire","George Constantinou's Construction Empire","2025","1954","1","a landmark of its own: 70 years in business. What began in 1954 as a modest welding operation has grown into a diversified conglomerate spa"
"2i7iadib5QZf8Z2hekfJOU","henry-mccanns-blueprint-for-construction-industry-excellence","Henry McCann's Blueprint for Construction Industry Excellence","2025","1964","1","ampion.” A Foundation of Values and Family Roots Founded in 1964 by the Kirby brothers in Limerick, Ireland, the company has grown from a re"
"2i7iadib5QZf8Z2hekfJWY","ryan-pinto-on-revolutionizing-education-for-tomorrows-leaders","Ryan Pinto on Revolutionizing Education for Tomorrow's Leaders","2025","1976","1","riven enterprise. --- A Legacy Rooted in Purpose Founded in 1976 by his father, Dr Augustine F Pinto, Ryan Group began with a simple yet pow"
