slug,title,category,has_author,has_writer,issue
alan-nortjes-blueprint-for-construction-innovation,"Alan Nortje's Blueprint for Construction Innovation",construction-and-mining,true,true,has_issue
anders-bjarklevs-vision-for-educational-transformation,"Anders Bjarklev's Vision for Educational Transformation",education,true,true,has_issue
andreas-bareis-on-automotive-innovation,"Andreas Bareis on Automotive Innovation",automotive-and-logistics,true,true,has_issue
andrew-quinn-on-commercial-services-innovation,"Andrew Quinn on Commercial Services Innovation",professional-services,true,true,has_issue
angelina-usanova,"Angelina Usanova",leadership,true,true,has_issue
anthony-tan-on-constructions-digital-transformation,"Anthony Tan on Construction's Digital Transformation",construction-and-mining,true,true,has_issue
antje-lochmanns-vision-for-automotive-innovation,"Antje Lochmann's Vision for Automotive Innovation",automotive-and-logistics,true,true,has_issue
australias-elite-gather-awards-night-insights,"Australia's Elite Gather: Awards Night Insights",,true,true,has_issue
australias-premier-superyacht-event-unveils-elite-maritime-excellence,"Australia's Premier Superyacht Event Unveils Elite Maritime Excellence",opinion,true,true,has_issue
australias-top-business-leaders-who-really-shapes-success,"Australia's Top Business Leaders: Who Really Shapes Success?",,true,true,has_issue
azhan-shafriman-hanifs-strategic-vision,"Azhan Shafriman Hanif's Strategic Vision",cxo-interview,true,true,has_issue
benjamin-borketey,"Benjamin Borketey — Executive Interview",cxo-interview,true,false,no_issue
beyond-compliance-how-cognitive-transformation-drives-sustainable-business-innovation,"Beyond Compliance: How Cognitive Transformation Drives Sustainable Business Innovation",innovation,true,true,has_issue
beyond-the-beach-kgaris-untapped-economic-potential-in-sustainable-tourism,"Beyond the Beach: K'gari's Untapped Economic Potential in Sustainable Tourism",changemakers-and-sustainability,true,true,has_issue
beyond-the-monthly-bill-how-intelligent-subscriptions-are-reshaping-customer-loyalty,"Beyond the Monthly Bill: How Intelligent Subscriptions Are Reshaping Customer Loyalty",money-and-finance,true,true,has_issue
bill-faruki,"Bill Faruki — Executive Interview",cxo-interview,true,false,no_issue
bob-bagbys-vision-for-entertainment-innovation,"Bob Bagby's Vision for Entertainment Innovation",cxo-interview,true,true,has_issue
breaking-barriers-how-visionary-entrepreneurs-transform-challenges-into-competitive-advantages,"Breaking Barriers: How Visionary Entrepreneurs Transform Challenges into Competitive Advantages",startups,true,true,has_issue
breaking-the-glass-ceiling-strategic-pathways-for-women-to-ascend-to-executive-leadership,"Breaking the Glass Ceiling: Strategic Pathways for Women to Ascend to Executive Leadership",leadership,true,true,has_issue
brianne-howey,"Brianne Howey — Executive Interview",cxo-interview,true,false,no_issue
bridging-centuries-how-chateau-de-collias-transforms-heritage-hospitality-into-modern-market-success,"Bridging Centuries: How Chateau de Collias Transforms Heritage Hospitality into Modern Market Success",changemakers-and-sustainability,true,true,has_issue
bryan-smeltzer,"Bryan Smeltzer — Executive Interview",cxo-interview,true,false,no_issue
bryce-tully,"Bryce Tully",cxo-interview,true,true,has_issue
building-entertainment-empires-lester-elders-executive-vision,"Building Entertainment Empires: Lester Elder's Executive Vision",cxo-interview,true,true,has_issue
building-sustainable-leadership-through-core-principles,"Building Sustainable Leadership Through Core Principles",money-and-finance,true,true,has_issue
cal-riley,"Cal Riley — Executive Interview",cxo-interview,true,false,no_issue
charting-a-new-course-jane-frasers-strategic-overhaul-of-citigroup,"Charting a New Course: Jane Fraser’s Strategic Overhaul of Citigroup",money-and-finance,true,true,has_issue
climate-inaction-equals-corporate-risk-the-lobbying-threat-to-business-leadership,"Climate Inaction Equals Corporate Risk: The Lobbying Threat to Business Leadership",changemakers-and-sustainability,true,true,has_issue
cultural-capitals-of-the-cte-dazur-strategic-destinations-for-business-and-leisure,"Cultural Capitals of the Côte d'Azur: Strategic Destinations for Business and Leisure",opinion,true,true,has_issue
curt-crossland-on-construction-innovation,"Curt Crossland on Construction Innovation",construction-and-mining,true,true,has_issue
david-prossers-strategic-fitness-revolution,"David Prosser's Strategic Fitness Revolution",cxo-interview,true,true,has_issue
dean-fealk,"Dean Fealk — Executive Interview",cxo-interview,true,false,no_issue
disrupting-the-disruptors-how-emerging-brands-can-leapfrog-market-leaders,"Disrupting the Disruptors: How Emerging Brands Can Leapfrog Market Leaders",startups,true,true,has_issue
dr-basma-ghandourah,"Dr. Basma Ghandourah",cxo-interview,true,true,has_issue
elevating-corporate-entertainment-through-luxury-culinary-experiences-at-sea,"Elevating Corporate Entertainment Through Luxury Culinary Experiences at Sea",changemakers-and-sustainability,true,true,has_issue
elevating-the-floating-dining-experience-how-modern-cruises-are-revolutionizing-culinary-excellence-at-sea,"Elevating the Floating Dining Experience: How Modern Cruises Are Revolutionizing Culinary Excellence at Sea",changemakers-and-sustainability,true,true,has_issue
elite-leadership-retreats-for-peak-performance,"Elite Leadership Retreats for Peak Performance",healthcare,true,true,has_issue
erin-krueger,"Erin Krueger — Executive Interview",cxo-interview,true,false,no_issue
essential-leadership-qualities-that-drive-tech-startup-success,"Essential Leadership Qualities That Drive Tech Startup Success",leadership,true,true,has_issue
eurofins-chinas-strategic-expansion,"Eurofins China's Strategic Expansion",professional-services,true,true,has_issue
exclusive-culinary-experiences-in-the-maldives-for-discerning-executives,"Exclusive Culinary Experiences in the Maldives for Discerning Executives",changemakers-and-sustainability,true,true,has_issue
fiona-johnstons-strategic-vision-for-commercial-excellence,"Fiona Johnston's Strategic Vision for Commercial Excellence",professional-services,true,true,has_issue
fiuggis-ancient-waters-modern-wellness-lessons-for-executive-leadership,"Fiuggi's Ancient Waters: Modern Wellness Lessons for Executive Leadership",healthcare,true,true,has_issue
formula-ones-elite-hospitality-revolution-redefining-premium-race-experiences-globally,"Formula One's Elite Hospitality Revolution: Redefining Premium Race Experiences Globally",changemakers-and-sustainability,true,true,has_issue
