id,title,slug,writer,writer_slug,primary_category,publishedAt,_createdAt,_updatedAt,published_year,date_status
"iVn352lnQzrBdeP679jlTj","Not Every Executive Aims To Revolutionize Society, But Stoyana Natseva Knew Her Direction Would Be Unique. Subtly Influential, Purposefully Deliberate, And Spiritually Motivated, Her Objective Extends Beyond Guidanceit's To Inspire Enlightenment","not-every-executive-aims-to-revolutionize-society-but","Raj Patel","raj-patel","","","2025-11-06T17:09:38Z","2025-11-08T07:38:38Z","","missing_publishedAt"
"KGEAgIEt6gkQLdV5lSZKOC","Supreet Nagi","supreet-nagi","Raj Patel","raj-patel","cxo-interview","2025-11-07T08:33:21.882Z","2025-11-07T08:33:22Z","2025-11-08T02:36:28Z","2025","ok"
"KGEAgIEt6gkQLdV5lSZJMo","Swami Aniruddha","swami-aniruddha","Sarah Johnson","sarah-johnson","cxo-interview","2025-11-07T08:33:16.687Z","2025-11-07T08:33:17Z","2025-11-08T02:36:01Z","2025","ok"
"6FGiNia5tWM9A0y146T0bN","John Zangardi","john-zangardi","Priya Raman","priya-raman","cxo-interview","2025-11-07T08:33:11.240Z","2025-11-07T08:33:12Z","2025-11-08T02:35:35Z","2025","ok"
"6FGiNia5tWM9A0y146SyqV","Dr. Basma Ghandourah","dr-basma-ghandourah","Priya Raman","priya-raman","cxo-interview","2025-11-07T08:33:05.596Z","2025-11-07T08:33:06Z","2025-11-08T02:36:48Z","2025","ok"
"iVn352lnQzrBdeP67CLroJ","Stoyana Natseva","stoyana-natseva","Raj Patel","raj-patel","cxo-interview","2025-11-07T08:32:59.392Z","2025-11-07T08:33:00Z","2025-11-08T02:38:21Z","2025","ok"
"KGEAgIEt6gkQLdV5lSZFvP","Pankaj Bansal","pankaj-bansal","Sarah Johnson","sarah-johnson","cxo-interview","2025-11-07T08:32:53.484Z","2025-11-07T08:32:54Z","2025-11-08T02:35:48Z","2025","ok"
"2i7iadib5QZf8Z2hekfqnS","Unlocking Executive Performance Through Daily Movement","unlocking-executive-performance-through-daily-movement","Raj Patel","raj-patel","healthcare","2025-11-07T02:21:49.754Z","2025-11-02T00:04:06Z","2025-11-07T04:16:29Z","2025","ok"
"6FGiNia5tWM9A0y142DNeH","Bryce Tully","bryce-tully","Priya Raman","priya-raman","cxo-interview","2025-11-06T23:08:45.064Z","2025-11-06T23:08:46Z","2025-11-08T02:35:24Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIURXy","Strategic Global Expansion: Mastering International Market Entry for Modern Enterprises","strategic-global-expansion-mastering-international-market-entry-for-modern-enterprises","Priya Raman","priya-raman","startups","2025-11-02T20:59:06.790Z","2025-11-02T00:03:24Z","2025-11-07T04:17:13Z","2025","ok"
"VzElbecBTke30RM0jLUU2C","Strategic Downsizing: How Reducing Team Size Boosted My Company's Bottom Line","strategic-downsizing-how-reducing-team-size-boosted-my-companys-bottom-line","Michael Chen","michael-chen","startups","2025-11-02T20:59:03.856Z","2025-11-02T00:03:21Z","2025-11-07T04:18:00Z","2025","ok"
"2i7iadib5QZf8Z2hekfoLq","Disrupting the Disruptors: How Emerging Brands Can Leapfrog Market Leaders","disrupting-the-disruptors-how-emerging-brands-can-leapfrog-market-leaders","Maya Whitfield","maya-whitfield","startups","2025-11-02T20:58:59.728Z","2025-11-02T00:03:16Z","2025-11-07T04:16:23Z","2025","ok"
"VzElbecBTke30RM0jLUTrD","Darey and Deola Art Alade: Revolutionizing Industries Through Bold Entrepreneurial Vision","darey-and-deola-art-alade-revolutionizing-industries-through-bold-entrepreneurial-vision","Martin Kessler","martin-kessler","startups","2025-11-02T20:58:56.245Z","2025-11-02T00:03:12Z","2025-11-07T04:17:58Z","2025","ok"
"2i7iadib5QZf8Z2hekfoDm","Strategic Market Entry: Transforming Bold Ideas into Profitable Ventures","strategic-market-entry-transforming-bold-ideas-into-profitable-ventures","Linh Nguyen","linh-nguyen","startups","2025-11-02T20:58:52.505Z","2025-11-02T00:03:08Z","2025-11-07T04:16:21Z","2025","ok"
"2i7iadib5QZf8Z2hekfO9e","Breaking Barriers: How Visionary Entrepreneurs Transform Challenges into Competitive Advantages","breaking-barriers-how-visionary-entrepreneurs-transform-challenges-into-competitive-advantages","Emma Williams","emma-williams","startups","2025-11-02T20:58:49.179Z","2025-11-01T23:59:44Z","2025-11-07T04:15:55Z","2025","ok"
"VzElbecBTke30RM0jT0rqI","From Vision to Market Victory: The 's Blueprint for Concept Commercialization","from-vision-to-market-victory-the-s-blueprint-for-concept-commercialization","Elena Petrov","elena-petrov","startups","2025-11-02T20:58:45.256Z","2025-11-02T20:58:46Z","2025-11-07T04:18:14Z","2025","ok"
"2i7iadib5QZf8Z2hekfHWM","Josh Moffat on Commercial Excellence","josh-moffat-on-commercial-excellence","David Okoro","david-okoro","professional-services","2025-11-02T20:58:41.806Z","2025-11-01T23:57:04Z","2025-11-07T04:15:36Z","2025","ok"
"VzElbecBTke30RM0jLTSmx","Fiona Johnston's Strategic Vision for Commercial Excellence","fiona-johnstons-strategic-vision-for-commercial-excellence","Carlos Mendes","carlos-mendes","professional-services","2025-11-02T20:58:38.413Z","2025-11-01T23:56:59Z","2025-11-07T04:17:21Z","2025","ok"
