name,slug,roles,authored_count,edited_count,profile_url
Aisha Farouk,aisha-farouk,writer,11,0,http://localhost:3000/writer/aisha-farouk
Alicia Gomez,alicia-gomez,writer,10,0,http://localhost:3000/writer/alicia-gomez
Arjun Mehta,arjun-mehta,writer,11,0,http://localhost:3000/writer/arjun-mehta
Carlos Mendes,carlos-mendes,writer,10,0,http://localhost:3000/writer/carlos-mendes
David Okoro,david-okoro,writer,10,0,http://localhost:3000/writer/david-okoro
Elena Petrov,elena-petrov,writer,10,0,http://localhost:3000/writer/elena-petrov
Emma Williams,emma-williams,writer,10,0,http://localhost:3000/writer/emma-williams
Linh Nguyen,linh-nguyen,writer,9,0,http://localhost:3000/writer/linh-nguyen
Martin Kessler,martin-kessler,writer,9,0,http://localhost:3000/writer/martin-kessler
Maya Whitfield,maya-whitfield,writer,9,0,http://localhost:3000/writer/maya-whitfield
Michael Chen,michael-chen,writer,10,0,http://localhost:3000/writer/michael-chen
Priya Raman,priya-raman,writer|editor,12,31,http://localhost:3000/writer/priya-raman
Raj Patel,raj-patel,writer,12,0,http://localhost:3000/writer/raj-patel
Sarah Johnson,sarah-johnson,writer,11,0,http://localhost:3000/writer/sarah-johnson
Sofia Alvarez,sofia-alvarez,writer,9,0,http://localhost:3000/writer/sofia-alvarez
