Rank,URL,Title,Clicks,Impressions,CTR,Position,Status
1,"https://csuitemagazine.global/category/automotive-and-logistics/martijn-blanken-on-aviations-next-frontier","Martijn Blanken On Aviations Next Frontier",0,1,0.00%,6,Good
2,"https://csuitemagazine.global/category/automotive-and-logistics/r-mohans-strategic-vision-for-automotive-innovation","R Mohans Strategic Vision For Automotive Innovation",0,1,0.00%,4,Good
3,"https://csuitemagazine.global/category/automotive-and-logistics/vic-cheungs-vision-for-automotive-innovation","Vic Cheungs Vision For Automotive Innovation",0,2,0.00%,10,Good
4,"https://csuitemagazine.global/category/automotive-and-logistics/vikas-duttas-strategic-vision-for-global-logistics-innovation","Vikas Duttas Strategic Vision For Global Logistics Innovation",0,2,0.00%,2,Good
5,"https://csuitemagazine.global/category/changemakers-and-sustainability/beyond-the-beach-kgaris-untapped-economic-potential-in-sustainable-tourism","Beyond The Beach Kgaris Untapped Economic Potential In Sustainable Tourism",0,2,0.00%,4,Good
6,"https://csuitemagazine.global/category/changemakers-and-sustainability/formula-ones-elite-hospitality-revolution-redefining-premium-race-experiences-globally","Formula Ones Elite Hospitality Revolution Redefining Premium Race Experiences Globally",0,2,0.00%,8,Good
7,"https://csuitemagazine.global/category/changemakers-and-sustainability/from-naval-steel-to-nautical-nirvana-how-military-vessels-are-revolutionizing-the-superyacht-industry","From Naval Steel To Nautical Nirvana How Military Vessels Are Revolutionizing The Superyacht Industry",0,1,0.00%,10,Good
8,"https://csuitemagazine.global/category/changemakers-and-sustainability/the-oceans-premium-protein-revolution","The Oceans Premium Protein Revolution",0,1,0.00%,1,Good
9,"https://csuitemagazine.global/category/construction-and-mining/swami-iyers-strategic-vision-for-construction-innovation","Swami Iyers Strategic Vision For Construction Innovation",0,1,0.00%,11,Good
10,"https://csuitemagazine.global/category/construction-and-mining/tirthankar-roys-steel-industry-vision","Tirthankar Roys Steel Industry Vision",0,1,0.00%,11,Good
11,"https://csuitemagazine.global/category/construction-and-mining/vincent-ngs-high-rise-vision","Vincent Ngs High Rise Vision",0,2,0.00%,7,Good
12,"https://csuitemagazine.global/category/cxo-interview/bill-faruki","Bill Faruki",0,7,0.00%,11,Good
13,"https://csuitemagazine.global/category/cxo-interview/bob-bagbys-vision-for-entertainment-innovation","Bob Bagbys Vision For Entertainment Innovation",0,5,0.00%,9,Good
14,"https://csuitemagazine.global/category/cxo-interview/bryce-tully","Bryce Tully",0,2,0.00%,11,Good
15,"https://csuitemagazine.global/category/cxo-interview/john-zangardi","John Zangardi",0,1,0.00%,7,Good
16,"https://csuitemagazine.global/category/cxo-interview/pankaj-bansal","Pankaj Bansal",0,1,0.00%,56,Good
17,"https://csuitemagazine.global/category/education/jacqueline-edmondson-on-transforming-education-through-innovation","Jacqueline Edmondson On Transforming Education Through Innovation",0,1,0.00%,10,Good
18,"https://csuitemagazine.global/category/education/martha-dunagin-saunders-on-educational-innovation","Martha Dunagin Saunders On Educational Innovation",0,4,0.00%,7,Good
19,"https://csuitemagazine.global/category/education/mohammad-dehghani-on-science-and-technology-innovation","Mohammad Dehghani On Science And Technology Innovation",0,1,0.00%,3,Good
20,"https://csuitemagazine.global/category/healthcare/fiuggis-ancient-waters-modern-wellness-lessons-for-executive-leadership","Fiuggis Ancient Waters Modern Wellness Lessons For Executive Leadership",0,1,0.00%,1,Good
21,"https://csuitemagazine.global/category/healthcare/the-productivity-paradox-why-strategic-rest-is-your-companys-competitive-advantage","The Productivity Paradox Why Strategic Rest Is Your Companys Competitive Advantage",0,1,0.00%,21,Good
